age,gender,height_cm,weight_kg,body_fat_percent,diastolic,systolic,gripforce,sit_and_bend_forward_cm,sit_ups_counts,broad_jump_cm,class,height_m,bmi
27.0,M,172.3,75.24,21.3,80.0,130.0,54.9,18.4,60.0,217.0,C,1.723,25.344179276720777
25.0,M,165.0,55.8,15.7,77.0,126.0,36.4,16.3,53.0,229.0,A,1.65,20.495867768595044
31.0,M,179.6,78.0,20.1,92.0,152.0,44.8,12.0,49.0,181.0,C,1.796,24.181427671489725
32.0,M,174.5,71.1,18.4,76.0,147.0,41.4,15.2,53.0,219.0,B,1.745,23.349561990459843
28.0,M,173.8,67.7,17.1,70.0,127.0,43.5,27.1,45.0,217.0,B,1.7380000000000002,22.41243920170665
36.0,F,165.4,55.4,22.0,64.0,119.0,23.8,21.0,27.0,153.0,B,1.6540000000000001,20.25064005181824
42.0,F,164.5,63.7,32.2,72.0,135.0,22.7,0.8,18.0,146.0,D,1.645,23.54006337709371
33.0,M,174.9,77.2,36.9,84.0,137.0,45.9,12.3,42.0,234.0,B,1.749,25.236997307290842
54.0,M,166.8,67.5,27.6,85.0,165.0,40.4,18.6,34.0,148.0,C,1.6680000000000001,24.26116660628331
28.0,M,185.0,84.6,14.4,81.0,156.0,57.9,12.1,55.0,213.0,B,1.85,24.71877282688093
42.0,M,169.2,65.4,19.3,63.0,110.0,43.5,16.0,68.0,211.0,A,1.692,22.844256660463092
57.0,F,153.0,49.0,20.9,69.0,106.0,21.5,30.0,0.0,90.0,D,1.53,20.932120124738347
27.0,F,156.0,53.9,35.5,69.0,116.0,23.1,13.1,28.0,144.0,C,1.56,22.148257725180798
22.0,M,175.7,67.9,11.3,71.0,103.0,52.5,19.2,55.0,232.0,C,1.757,21.995115723786704
24.0,M,181.0,84.4,20.4,80.0,120.0,48.9,7.2,54.0,213.0,C,1.81,25.762339366930192
45.0,F,159.0,63.1,30.9,93.0,144.0,34.1,19.0,30.0,155.0,A,1.59,24.959455717732684
25.0,F,164.2,66.6,30.2,82.0,120.0,25.7,22.9,39.0,178.0,C,1.642,24.701761465548834
26.0,M,179.9,71.5,9.7,64.0,135.0,59.6,17.8,61.0,239.0,A,1.7990000000000002,22.092441573216664
26.0,M,169.2,70.6,21.0,63.0,129.0,41.3,15.1,53.0,225.0,B,1.692,24.660619575362297
21.0,F,162.7,47.2,18.9,78.0,133.0,25.4,20.5,36.0,137.0,B,1.6269999999999998,17.830638401075284
25.0,F,161.7,63.36,31.3,89.0,128.0,25.0,10.7,39.0,160.0,C,1.617,24.232327439324525
59.0,F,155.9,62.7,30.2,76.0,143.0,36.8,29.1,25.0,122.0,A,1.5590000000000002,25.797362744246918
38.0,M,166.7,67.3,23.2,70.0,111.0,26.1,19.7,62.0,215.0,D,1.6669999999999998,24.218311706584903
44.0,M,170.0,63.3,12.9,65.0,115.0,44.5,11.6,49.0,196.0,B,1.7,21.903114186851212
23.0,F,164.1,59.4,29.6,91.0,126.0,24.6,27.5,32.0,169.0,C,1.641,22.058160015240183
